image_id,hotel_id,chain_id,country_name,socket_detected,yolo_confidence,socket_class,class_confidence
2646143,71952,-1,Argentina,No,,,
2646144,71952,-1,Argentina,No,,,
3935203,69060,-1,Argentina,No,,,
3935204,69060,-1,Argentina,No,,,
3935205,69060,-1,Argentina,Yes,66.8,Noise,54.8
2605775,74153,2,Aruba,No,,,
2605777,74153,2,Aruba,Yes,79.0,B,57.1
3877697,18035,59,Aruba,Yes,74.2,B,99.5
3877698,18035,59,Aruba,No,,,
2589141,17966,-1,Australia,No,,,
2589142,17966,-1,Australia,No,,,
2589144,17966,-1,Australia,No,,,
2597682,15227,-1,Australia,No,,,
2598402,34311,46,Australia,No,,,
2598403,34311,46,Australia,No,,,
2598404,34311,46,Australia,No,,,
2601077,38962,51,Australia,No,,,
2601877,23417,-1,Australia,No,,,
2601878,23417,-1,Australia,No,,,
2601988,90638,-1,Australia,No,,,
2601989,90638,-1,Australia,No,,,
2601991,90638,-1,Australia,No,,,
2603432,34187,-1,Australia,No,,,
2603747,13757,2,Australia,No,,,
2604734,22558,-1,Australia,No,,,
2604735,22558,-1,Australia,No,,,
2604737,22558,-1,Australia,No,,,
2611044,938,10,Australia,No,,,
2614213,124843,-1,Australia,No,,,
2615340,13757,2,Australia,No,,,
2615341,13757,2,Australia,No,,,
2615342,13757,2,Australia,No,,,
2615343,13757,2,Australia,No,,,
2615345,13757,2,Australia,No,,,
2615346,13757,2,Australia,Yes,81.5,DM,64.9
2617652,49463,18,Australia,No,,,
2617653,49463,18,Australia,No,,,
2617654,49463,18,Australia,No,,,
2622927,9465,3,Australia,No,,,
2622929,9465,3,Australia,No,,,
2624326,16407,58,Australia,No,,,
2624328,16407,58,Australia,No,,,
2624698,114794,88,Australia,No,,,
2624702,114794,88,Australia,No,,,
2624703,114794,88,Australia,No,,,
2625792,32899,0,Australia,No,,,
2626474,11695,46,Australia,No,,,
2627119,3232,51,Australia,No,,,
2627122,3232,51,Australia,No,,,
2628574,7932,71,Australia,No,,,
2628576,7932,71,Australia,No,,,
2628577,7932,71,Australia,Yes,85.9,B,95.4
2637971,31993,0,Australia,No,,,
2637974,31993,0,Australia,No,,,
2639531,21778,51,Australia,No,,,
2639533,21778,51,Australia,No,,,
2647131,3218,3,Australia,No,,,
2647133,3218,3,Australia,No,,,
2647134,3218,3,Australia,No,,,
2647482,9465,3,Australia,No,,,
2648766,93916,92,Australia,No,,,
2648767,93916,92,Australia,No,,,
2648769,93916,92,Australia,Yes,79.9,I,99.1
2652361,51199,-1,Australia,No,,,
2652362,51199,-1,Australia,No,,,
2652363,51199,-1,Australia,No,,,
2653845,13959,50,Australia,No,,,
2655233,36739,-1,Australia,No,,,
2655234,36739,-1,Australia,No,,,
2656792,141610,-1,Australia,No,,,
2656795,141610,-1,Australia,Yes,70.0,B,46.1
2658062,13590,2,Australia,No,,,
2658063,13590,2,Australia,No,,,
2659472,5590,29,Australia,No,,,
2659473,5590,29,Australia,No,,,
2659554,40912,-1,Australia,No,,,
2660929,10169,46,Australia,No,,,
2661290,32577,-1,Australia,No,,,
2661293,32577,-1,Australia,No,,,
2661697,113723,-1,Australia,No,,,
2661698,113723,-1,Australia,No,,,
2663479,141610,-1,Australia,No,,,
2663481,141610,-1,Australia,No,,,
2664977,22103,2,Australia,Yes,74.5,Noise,87.8
2665726,23703,-1,Australia,Yes,78.7,I,80.5
2665727,23703,-1,Australia,No,,,
2665729,23703,-1,Australia,Yes,80.5,I,99.7
2666075,1319,51,Australia,No,,,
2666077,1319,51,Australia,No,,,
2666370,72012,-1,Australia,No,,,
2666371,72012,-1,Australia,No,,,
2666372,72012,-1,Australia,No,,,
2666414,6738,-1,Australia,No,,,
2667510,3232,51,Australia,No,,,
2668014,45664,-1,Australia,Yes,66.1,DM,92.5
2668368,3408,51,Australia,No,,,
2668369,3408,51,Australia,No,,,
2668957,141610,-1,Australia,Yes,72.6,B,88.3
2672137,38978,27,Australia,No,,,
2672187,14568,71,Australia,No,,,
2672189,14568,71,Australia,No,,,
2672979,35147,51,Australia,No,,,
2675103,23417,-1,Australia,No,,,
2675105,23417,-1,Australia,No,,,
2675106,23417,-1,Australia,No,,,
2677642,19209,-1,Australia,No,,,
2677643,19209,-1,Australia,No,,,
2677645,19209,-1,Australia,Yes,62.4,JN,33.7
2682651,138888,-1,Australia,No,,,
2683087,19001,-1,Australia,No,,,
2684777,89326,-1,Australia,No,,,
2684778,89326,-1,Australia,No,,,
2684925,79183,-1,Australia,Yes,83.4,I,93.5
2687074,16628,90,Australia,No,,,
2687614,9465,3,Australia,Yes,64.6,I,92.5
2690595,131897,-1,Australia,No,,,
2690893,66468,18,Australia,No,,,
2690894,66468,18,Australia,No,,,
2690895,66468,18,Australia,No,,,
2691050,25279,51,Australia,No,,,
2691052,25279,51,Australia,No,,,
2691053,25279,51,Australia,No,,,
2691306,136686,51,Australia,No,,,
2691307,136686,51,Australia,No,,,
2691944,4908,-1,Australia,No,,,
2692932,38217,82,Australia,Yes,78.8,I,96.5
2693878,14568,71,Australia,No,,,
2694753,13363,-1,Australia,No,,,
2702310,12614,-1,Australia,No,,,
2702312,12614,-1,Australia,No,,,
2702313,12614,-1,Australia,Yes,65.2,DM,91.0
3835427,13329,-1,Australia,No,,,
3835430,13329,-1,Australia,No,,,
3837080,1006,1,Australia,No,,,
3841645,40185,-1,Australia,No,,,
3841646,40185,-1,Australia,No,,,
3841647,40185,-1,Australia,Yes,74.8,DM,72.7
3842040,11428,45,Australia,No,,,
3843667,6978,-1,Australia,No,,,
3844619,135417,-1,Australia,No,,,
3844697,6534,-1,Australia,No,,,
3851744,13757,2,Australia,No,,,
3851745,13757,2,Australia,Yes,70.5,DM,87.6
3858456,38331,-1,Australia,No,,,
3862695,28411,-1,Australia,No,,,
3865722,1795,57,Australia,No,,,
3865723,1795,57,Australia,No,,,
3866459,14260,25,Australia,No,,,
3866947,641,18,Australia,No,,,
3868211,23417,-1,Australia,No,,,
3873231,40600,-1,Australia,No,,,
3873233,40600,-1,Australia,No,,,
3873234,40600,-1,Australia,No,,,
3874206,6978,-1,Australia,No,,,
3874208,6978,-1,Australia,No,,,
3877725,134287,-1,Australia,No,,,
3877726,134287,-1,Australia,No,,,
3877728,134287,-1,Australia,Yes,77.7,DM,55.5
3878263,6978,-1,Australia,No,,,
3878264,6978,-1,Australia,No,,,
3878265,6978,-1,Australia,No,,,
3878830,6978,-1,Australia,No,,,
3878831,6978,-1,Australia,No,,,
3878832,6978,-1,Australia,No,,,
3879189,52038,-1,Australia,No,,,
3879203,6978,-1,Australia,No,,,
3879204,6978,-1,Australia,No,,,
3884409,11927,51,Australia,No,,,
3884410,11927,51,Australia,No,,,
3887097,112615,-1,Australia,No,,,
3888169,938,10,Australia,No,,,
3888171,938,10,Australia,No,,,
3889529,7748,80,Australia,No,,,
3889530,7748,80,Australia,No,,,
3889862,15453,-1,Australia,No,,,
3890488,140676,-1,Australia,No,,,
3890490,140676,-1,Australia,No,,,
3890491,140676,-1,Australia,No,,,
3890757,13959,50,Australia,No,,,
3890759,13959,50,Australia,No,,,
3892118,109692,45,Australia,No,,,
3892701,16704,45,Australia,No,,,
3892973,11094,-1,Australia,No,,,
3892974,11094,-1,Australia,No,,,
3892976,11094,-1,Australia,No,,,
3893485,4908,-1,Australia,No,,,
3893607,11428,45,Australia,Yes,65.7,Noise,76.3
3893608,11428,45,Australia,No,,,
3893609,11428,45,Australia,Yes,77.8,B,81.7
3894854,32685,57,Australia,No,,,
3895216,5590,29,Australia,No,,,
3895218,5590,29,Australia,No,,,
3900970,123545,-1,Australia,No,,,
3901403,11927,51,Australia,Yes,77.3,DM,66.7
3902819,39957,46,Australia,No,,,
3902822,39957,46,Australia,No,,,
3903000,88976,-1,Australia,No,,,
3903924,765,-1,Australia,No,,,
3903925,765,-1,Australia,No,,,
3904716,6978,-1,Australia,No,,,
3906038,114233,18,Australia,No,,,
3906391,141610,-1,Australia,No,,,
3906393,141610,-1,Australia,No,,,
3907227,43779,-1,Australia,No,,,
3911881,75115,-1,Australia,No,,,
3911882,75115,-1,Australia,No,,,
3913973,13757,2,Australia,No,,,
3918676,89326,-1,Australia,No,,,
3918678,89326,-1,Australia,No,,,
3919525,122262,84,Australia,No,,,
3920654,14060,-1,Australia,Yes,62.7,Noise,96.4
3921659,130352,-1,Australia,No,,,
3921662,130352,-1,Australia,No,,,
3923037,938,10,Australia,No,,,
3923981,43779,-1,Australia,No,,,
3927043,53381,88,Australia,No,,,
3929359,12746,-1,Australia,No,,,
3929360,12746,-1,Australia,No,,,
3929361,12746,-1,Australia,No,,,
3929362,12746,-1,Australia,No,,,
3930871,10154,-1,Australia,No,,,
3932460,84972,45,Australia,No,,,
3932462,84972,45,Australia,No,,,
3932599,11927,51,Australia,No,,,
3932601,11927,51,Australia,No,,,
3932602,11927,51,Australia,No,,,
3932606,11927,51,Australia,No,,,
3935309,76757,45,Australia,No,,,
3935310,76757,45,Australia,No,,,
3935527,6521,46,Australia,No,,,
3936674,51469,-1,Australia,No,,,
3936676,51469,-1,Australia,No,,,
3937030,51469,-1,Australia,No,,,
3939390,25279,51,Australia,No,,,
3939391,25279,51,Australia,No,,,
3939392,25279,51,Australia,No,,,
3940264,13208,66,Australia,No,,,
3942178,17249,-1,Australia,No,,,
3942180,17249,-1,Australia,No,,,
3942181,17249,-1,Australia,No,,,
3942279,13363,-1,Australia,No,,,
3942280,13363,-1,Australia,Yes,77.1,I,32.1
3942281,13363,-1,Australia,No,,,
3945469,34022,-1,Australia,No,,,
3945470,34022,-1,Australia,No,,,
3946548,91904,-1,Australia,No,,,
3946550,91904,-1,Australia,Yes,72.2,Noise,98.4
3950247,32899,0,Australia,No,,,
3950248,32899,0,Australia,No,,,
3950249,32899,0,Australia,No,,,
3950250,32899,0,Australia,No,,,
3952217,89326,-1,Australia,No,,,
